Anatomical Strucures, Cell Types and Biomarkers Table for *Organ* v2.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,"Angela Kruse, David Anderson, Christine Curcio, Kevin Schey, Jeffrey Spraggins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0001-8776-2769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,"Haverkamp and Wassle, 2004; Kay et al., 2011; Klump et al., 2009; Majumdar et al., 2008; Mariani and Hokoc, 1988; Mills and Massey, 1999; Yamada et al., 2003; Peng et. al., 2019; Marc and Jones 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,Will be added after table is finalized and published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,8/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEDAR Template ID:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/2,CT/2/LABEL,CT/2/ID,CT/3,CT/3/LABEL,CT/3/ID,CT/4,CT/4/LABEL,CT/4/ID,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/6,BGene/6/LABEL,BGene/6/ID,BGene/7,BGene/7/LABEL,BGene/7/ID,BGene/8,BGene/8/LABEL,BGene/8/ID,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/2,BProtein/2/LABEL,BProtein/2/ID,BProtein/3,BProtein/3/LABEL,BProtein/3/ID,BProtein/4,BProtein/4/LABEL,BProtein/4/ID,BProtein/5,BProtein/5/LABEL,BProtein/5/ID,BProteoform/1,BProteoform/1/LABEL,BProteoform/1/ID,BProteoform/2,BProteoform/2/LABEL,BProteoform/2/ID,BLipid/1,BLipid/1/LABEL,BLipid/1/ID,BLipid/2,BLipid/2/LABEL,BLipid/2/ID,BMetabolites/1,BMetabolites/1/LABEL,BMetabolites/1/ID,BMetabolites/2,BMetabolites/2LABEL,BMetabolites/2/ID,FTU,REF/1,REF/1/DOI,REF/1/NOTES,REF/2,REF/2/DOI,REF/2/NOTES,CEDAR/ID,CEDAR/LAST_UPLOADED_ON
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cells,Amacrine Cell,CL:0000561,"medium-field and wide- field cells without axons. Marks all wiry cell types (1,2,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glycogen phosphorylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grünert 2020,,"medium-field and wide- field cells without axons. Marks all wiry cell types (1,2,3)",,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cells,Amacrine Cell,CL:0000561,polyaxonal amacrine cells. Specifically Semilunar 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neuropeptide Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grünert 2020,,polyaxonal amacrine cells. Specifically Semilunar 1,,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cells,Amacrine Cell,CL:0000561,polyaxonal amacrine cells. Specifically Semilunar 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cholecystokinin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grünert 2020,,polyaxonal amacrine cells. Specifically Semilunar 3,,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cells,Amacrine Cell,CL:0000561,"polyaxonal amacrine cells. Stains semilunar 1,2,3 and thorny type 2 amacrine cells. Primarily stains AII (A2) cells",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calretinin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grünert 2020,,"polyaxonal amacrine cells. Stains semilunar 1,2,3 and thorny type 2 amacrine cells",,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cells,Amacrine Cell,CL:0000561,starburst amacrine cells. Marks medium-field and wide- field cells without axons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,choline acetyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grünert 2020,,"Amacrine cells are classified as ChAT positive and negative, and there are ChAT bands on either side of the IPL. ChAT may be associated with stratification and marks starburst amacrine cells. Marks medium-field and wide- field cells without axons.",,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cells,Amacrine Cell,CL:0000561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calbindin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grünert 2020,,expressed in subpopulations of amacrine and bipolar cells,,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine Cells,Amacrine Cell,CL:0000561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secretagogin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grünert 2020,,amacrine cells in the INL and displaced cells in GCL,,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Amacrine cells,Amacrine Cell,CL:0000561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAD1,Glutamate decarboxylase 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lee 2016,,,,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Bipolar Cell,,,,,,,,,VSX2,,,VSX1,,,CABP5,,,OTX2,,,GRM6,,,PRKCA,,,TRPM1,,,GRIK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peng et. Al. 2019,,,,,,,
Eye,Eye,UBERON:0000970,Retina,Retina,UBERON:0000966,inner nuclear layer,inner nuclear layer of retina,UBERON:0001791,,,,Neuron,,,Bipolar Cells,,,ON Bipolar Cells,ON-bipolar cell,CL:0000749,blue cone bipolar (BB),,,,,,,,,,,,,,,,,,,,,,,,,,,CCK,Cholecystokinin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grünert 2020,,,,,,,
