AS/1/ID,AS/1,AS/1/COUNT
CL:0000115,endothelial cell,1118
CL:0000127,astrocyte,1873
CL:0000128,oligodendrocyte,3360
CL:0000129,microglial cell,1355
CL:0000192,smooth muscle cell,19
CL:0000617,GABAergic neuron,29486
CL:0000669,pericyte cell,763
CL:0000679,glutamatergic neuron,53263
CL:0000708,leptomeningeal cell,1651
CL:0002453,oligodendrocyte precursor cell,600
